Year,Sex,Country/Region/World,ISO,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval,Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity),Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval,Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval,Proportion of double burden from obesity,Proportion of double burden from obesity lower 95% uncertainty interval,Proportion of double burden from obesity upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m² (morbid obesity),Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval
1990,Women,United Kingdom,GBR,0.02753730541,0.02343938662,0.03201083222,0.1382045756,0.1287873155,0.1479000903,0.165741881,0.1558152956,0.1762667553,0.8120298298,0.7869518489,0.8358823339,0.06288434762,0.05710737786,0.06895128297,0.4892422274,0.4756505018,0.5027880341,0.2821315419,0.2693702606,0.2947924327,0.09613880388,0.08756705465,0.1049615696,0.03039693651,0.02658246942,0.03455140643,0.01166883518,0.009454589055,0.01413646303
1991,Women,United Kingdom,GBR,0.02623978378,0.02253910054,0.030255496,0.1445691857,0.1355502445,0.1537087325,0.1708089695,0.1613871357,0.1806248262,0.8254406387,0.8030782262,0.8469907926,0.06077362061,0.05553695191,0.06626240611,0.4811877714,0.4683649192,0.4937814767,0.2872296365,0.2752496719,0.299294048,0.1000834448,0.09193261155,0.1084344301,0.03211119309,0.02832759275,0.03615934133,0.01237454787,0.01020991703,0.01483064785
1992,Women,United Kingdom,GBR,0.0250134733,0.02166541039,0.02856806939,0.1510678751,0.1424812647,0.1598087194,0.1760813484,0.1671478895,0.1853751276,0.8379459351,0.818022527,0.8570590132,0.05876270175,0.05396244136,0.06376496727,0.4729978873,0.4608545101,0.4847434429,0.2921580605,0.2808944189,0.3036039336,0.1040670052,0.0961916247,0.1119729297,0.03387189194,0.03016134837,0.03787747138,0.01312897796,0.01097818152,0.01555699623
1993,Women,United Kingdom,GBR,0.02387673208,0.02077423261,0.02714430578,0.1577128002,0.1493819346,0.1662270989,0.1815895323,0.1729481114,0.1905219408,0.8494913064,0.8314743217,0.8670696891,0.05686186574,0.05248432489,0.06152937433,0.4646833271,0.453389109,0.47567151,0.2968652729,0.286294179,0.3075683872,0.1080919749,0.1005907525,0.1159070329,0.03568422089,0.03207633396,0.0396940118,0.01393660439,0.01179382638,0.01631725526
1994,Women,United Kingdom,GBR,0.02284044387,0.01998666061,0.02585252406,0.164510536,0.1564117096,0.1728697728,0.1873509799,0.1789840434,0.1961699226,0.8600548131,0.843577126,0.8757132911,0.05507785377,0.05099861348,0.05941224737,0.4562947014,0.4456202072,0.4665804191,0.3012764629,0.2910906776,0.3117005378,0.1121514534,0.1048600761,0.1198710719,0.03755477156,0.03397529676,0.04147474791,0.01480431112,0.01261556724,0.01720306111
1995,Women,United Kingdom,GBR,0.02190488762,0.01925784867,0.02467533043,0.1714226195,0.1633281145,0.1798226784,0.1933275071,0.1850799958,0.2019885141,0.8696402044,0.8545851705,0.8841081,0.05341604273,0.04965342613,0.05743185814,0.4479491234,0.4374256074,0.4581526841,0.3053073247,0.2954040739,0.3153269161,0.1161829148,0.1089612646,0.1237496213,0.03949533223,0.03587840568,0.04337418926,0.01574437242,0.01352813005,0.0181776855
1996,Women,United Kingdom,GBR,0.02106706132,0.01857308633,0.02367267028,0.1784457505,0.1703684483,0.1866605895,0.1995128119,0.1912634243,0.2081211089,0.8783038985,0.8642443029,0.891565044,0.0518700244,0.04825120825,0.05566425629,0.4397013801,0.4295856273,0.449825734,0.3089157816,0.2991086161,0.3187029332,0.1201711532,0.1128719451,0.127582154,0.04150470592,0.03780258512,0.04539325006,0.01676989142,0.01448113189,0.01932103291
1997,Women,United Kingdom,GBR,0.02033226484,0.01795748152,0.0228445595,0.1855282154,0.1772938884,0.1937652245,0.2058604803,0.1975353034,0.2144684936,0.8860375726,0.8728587808,0.898316394,0.05043854072,0.04692257043,0.0541124903,0.4316519505,0.4215851792,0.441781419,0.3120490265,0.3024931825,0.3217150133,0.1240822959,0.1168145839,0.1314065528,0.0435674864,0.03979847683,0.04755042441,0.01787843318,0.01549709606,0.02046974101
1998,Women,United Kingdom,GBR,0.01969669404,0.01742353549,0.02212211624,0.1925830548,0.1842212508,0.2008562979,0.2122797489,0.2038940843,0.2207532966,0.8928694922,0.8806201825,0.9045181837,0.04912899082,0.04568902975,0.05271185654,0.4239540402,0.4140648825,0.4337352871,0.3146372181,0.3049526338,0.3244617893,0.1278749453,0.1204950555,0.1353097712,0.04565484027,0.04180371166,0.04970679233,0.01905326924,0.01657297985,0.02165099297
1999,Women,United Kingdom,GBR,0.01916716046,0.01698467433,0.02152603708,0.199536721,0.1911796726,0.2079479197,0.2187038815,0.2102656745,0.2272512253,0.8987967954,0.8870615349,0.9097619664,0.04795068201,0.04460719504,0.05141172657,0.4166463919,0.4068969298,0.426249343,0.3166990426,0.3070562867,0.3264558693,0.1315095484,0.1239396781,0.1389887606,0.04773644426,0.04376906829,0.05189060542,0.02029072836,0.01769323807,0.02299156072
