Year,Sex,Country/Region/World,ISO,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval,Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity),Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval,Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval,Proportion of double burden from obesity,Proportion of double burden from obesity lower 95% uncertainty interval,Proportion of double burden from obesity upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m² (morbid obesity),Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval
1990,Women,United States of America,USA,0.03236712976,0.02693141564,0.03797375254,0.2117120213,0.1979161698,0.2259702143,0.244079151,0.2292712599,0.2586374685,0.8540663508,0.8310938527,0.8759030008,0.07825363071,0.07052004503,0.0863368543,0.4215665055,0.4052990545,0.4384146919,0.2561007108,0.2414473778,0.2707488538,0.1279636115,0.1161526269,0.1402848429,0.05393954002,0.04721588548,0.06129473809,0.02980886971,0.02478081099,0.03545426014
1991,Women,United States of America,USA,0.03089086112,0.02581232194,0.03614501443,0.2198317403,0.206085643,0.2338124302,0.2507226015,0.2366110241,0.2649856853,0.864131854,0.8431469625,0.8845673962,0.07578979265,0.06844556888,0.08344026691,0.4152683022,0.3996847381,0.4315585076,0.2582193017,0.2439306251,0.2727276062,0.1317278619,0.1202230915,0.1438668112,0.05654062552,0.04979299694,0.06395048614,0.03156325289,0.0264512335,0.03719166474
1992,Women,United States of America,USA,0.02952967827,0.02478858326,0.03440073555,0.2280227252,0.2147276413,0.2416975523,0.2575524035,0.2436797907,0.2716920907,0.8733631034,0.8538558967,0.8922366822,0.07341933002,0.06629586202,0.08079034961,0.4087669077,0.3937504239,0.4245789717,0.2602613568,0.2463125623,0.2743764046,0.1354258838,0.124176654,0.1473393492,0.05914492902,0.05239087432,0.06647035309,0.03345191237,0.02822626951,0.03921218954
1993,Women,United States of America,USA,0.0283092451,0.02380222459,0.03308964247,0.2363111755,0.2230919757,0.2498408047,0.2646204206,0.2510684405,0.2788555714,0.881714501,0.8636666639,0.8994964466,0.07116824285,0.0644225706,0.07823733669,0.4020395886,0.3874930598,0.417360199,0.262171746,0.2488213426,0.2758860215,0.1390573229,0.1280721745,0.1506685417,0.06175680566,0.05508057693,0.06916056642,0.03549704696,0.03013775786,0.04137406335
1994,Women,United States of America,USA,0.02724096577,0.02302820898,0.03172207674,0.2447149221,0.2317404273,0.2578216772,0.2719558878,0.2587087042,0.2856787767,0.889189573,0.8722610738,0.9053752446,0.06903496925,0.06273695789,0.07572599635,0.3950667661,0.3807863889,0.4099710588,0.2639423749,0.2507424378,0.2770947642,0.1426118235,0.1317051277,0.1540110019,0.06438638667,0.05766385716,0.0717538522,0.0377167119,0.03237624707,0.04364290652
1995,Women,United States of America,USA,0.02631918444,0.02230950507,0.03059378534,0.2532316821,0.2404552016,0.2661607881,0.2795508665,0.2667124532,0.2929694605,0.8958435441,0.88021128,0.9109935479,0.06701877242,0.06096337159,0.07342550281,0.3878718432,0.373952399,0.4022074905,0.2655585159,0.2524510889,0.2788191395,0.1460696285,0.1353808292,0.1574096677,0.06704060866,0.06047706594,0.07445086445,0.04012144489,0.03468592092,0.04621487916
1996,Women,United States of America,USA,0.02554111807,0.02168873721,0.02966314679,0.2619100908,0.2493116965,0.2745497008,0.2874512088,0.2748190167,0.3006062071,0.9017442197,0.8869895098,0.9156184927,0.0650934433,0.05930483046,0.07118420837,0.3804274982,0.3667607374,0.3941212598,0.2670278477,0.2542564105,0.2796609511,0.149431649,0.1388340597,0.1606475248,0.06974242325,0.06306669287,0.07712519507,0.04273601851,0.03724407692,0.04885064977
1997,Women,United States of America,USA,0.02490567915,0.02122697168,0.02885342449,0.2707749831,0.2583366481,0.2833433538,0.2956806622,0.2829506939,0.3086590884,0.9069388707,0.8932581796,0.920054694,0.06322744851,0.05764279155,0.0689601683,0.3727362257,0.359379124,0.3858427422,0.2683556616,0.2562484403,0.2806540513,0.1527245603,0.1421525357,0.1637721241,0.07250800614,0.06578975963,0.07990222211,0.04554241663,0.0398949884,0.05176161252
1998,Women,United States of America,USA,0.02440593498,0.02081168222,0.02824650523,0.2797073366,0.2672043458,0.2923188801,0.3041132716,0.29147093,0.3170240629,0.9114500156,0.8986231512,0.9236400429,0.0614302938,0.056071969,0.06704913133,0.3649616256,0.351795847,0.3777396049,0.269494807,0.2575054459,0.2816902391,0.1559152877,0.14546474,0.1667847177,0.07527695672,0.06844902918,0.08269825365,0.04851509218,0.04254336384,0.05500831722
1999,Women,United States of America,USA,0.02402393724,0.02056968216,0.02777448,0.2886341833,0.2759471159,0.301269448,0.3126581205,0.3001667719,0.3256451878,0.9153542214,0.9031597636,0.9267952037,0.05971518002,0.05467480577,0.0651149384,0.3572015608,0.344389011,0.3696365393,0.2704251367,0.2585804159,0.2823363108,0.1589780852,0.1485575056,0.1699704687,0.07801034685,0.07100708301,0.0853307353,0.05164575127,0.04545185627,0.0583166664
